name,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
Williamsburg 2BR. Close to L train,107412747,Brooklyn,40.71058,-73.95294,Entire home/apt,280,1,133
Bright large bedroom in Bushwick,42043282,Brooklyn,40.70335,-73.92891,Private room,70,2,1
Harlem Gem,12672916,Manhattan,40.80147,-73.94432,Entire home/apt,275,3,2
Private Room In Upper East Side,42874738,Manhattan,40.77887,-73.95406,Private room,110,4,81
Comfort and Charm in Harlem with a View!!!,138957777,Manhattan,40.80226,-73.93734,Private room,83,2,25
"Sunny, spacious room in Williamsburg Brooklyn Apt",11418466,Brooklyn,40.70994,-73.94867,Private room,89,2,50
"Cozy, Beautiful Bedroom in Shared Apartment",4803103,Brooklyn,40.68224,-73.97302,Private room,60,5,0
Flatbush pad Sleeps 6 MANHATTAN 30 min Away!,3532263,Brooklyn,40.63556,-73.95076,Entire home/apt,599,2,34
"Williamsburg, BK large apt",22894987,Brooklyn,40.71085,-73.94894,Entire home/apt,100,1,0
Bushwick Oasis,38672291,Brooklyn,40.69143,-73.93436,Private room,64,1,24
Cozy Room for Rent in Williamsburg!,51439873,Brooklyn,40.71557,-73.94004,Private room,75,1,0
"Joellen's Place Spacious 2-twin bed, Bushwick Apt.",71150679,Brooklyn,40.69024,-73.92197,Private room,65,2,77
Prime East Village 1BR,1488170,Manhattan,40.72435,-73.98715,Entire home/apt,225,5,2
"Shopping , City, Close the water Distance",212629546,Brooklyn,40.61523,-74.02917,Private room,60,4,0
Sun filled private room in Brooklyn,1456436,Brooklyn,40.69859,-73.92401,Private room,64,5,32
"Spacious, Great Location, Garden, 1 stop to City.",101883929,Brooklyn,40.68326,-73.98004,Entire home/apt,182,4,83
Spacious Bed Stuy Brooklyn 2 Bedroom Near Subway,33074595,Brooklyn,40.68528,-73.958,Entire home/apt,179,4,28
"Sun-filled 1 Bdrm, Above Subway",7230698,Manhattan,40.82749,-73.94329,Entire home/apt,102,5,20
Serene 1BR in Midtown East by Sonder,12243051,Manhattan,40.74388,-73.97193,Entire home/apt,184,29,1
Large House in Brooklyn near Express Subway,158554204,Brooklyn,40.67917,-73.93103,Entire home/apt,700,1,7
Cozy 1 Bedroom Apt In Great Location!,24842701,Manhattan,40.77493,-73.95874,Entire home/apt,169,3,130
Flatiron NYC 1 Bed/1 Bath Apt!,1911171,Manhattan,40.7421,-73.98319,Entire home/apt,240,4,59
Astoria-Private Home NYC-,722320,Queens,40.75725,-73.91098,Entire home/apt,129,1,414
New MidCentury Modern Apt In The Heart Of Brooklyn,42085952,Brooklyn,40.63088,-73.96113,Entire home/apt,102,2,0
Midtown East,152852607,Manhattan,40.7557,-73.96871,Entire home/apt,185,3,35
Modern 2 Bedroom Walk in. 3 min from Subway !,9289171,Brooklyn,40.66916,-73.93182,Entire home/apt,125,2,20
Comfortable one bedroom in heart of Midtown,12920745,Manhattan,40.75608,-73.99606,Entire home/apt,120,10,2
Room 12,74633496,Bronx,40.85771,-73.90899,Private room,40,3,31
Brooklyn 3BD family oasis w/ walk to Prospect Park,4336488,Brooklyn,40.66365,-73.94611,Entire home/apt,135,3,0
HUGE Manhattan Apt. right next to Central Park,241258373,Manhattan,40.80346,-73.95702,Entire home/apt,198,2,2
Gorgeous One Bedroom in the Heart of Chelsea,4253817,Manhattan,40.74123,-73.99522,Entire home/apt,200,4,45
Penthouse Duplex 2 Bed/2 Bath on Upper West Side,3491890,Manhattan,40.78411,-73.97721,Entire home/apt,245,30,12
Gorgeous Spacious Bedroom In Ridgewood Queens,16494382,Queens,40.70735,-73.89343,Private room,20,7,0
Modern Private King Room Near Central Park,261761719,Manhattan,40.76352,-73.9828,Private room,100,1,0
"No Inq,Read it, 1 BR, Rt of Subway,",1267021,Queens,40.74906,-73.89377,Private room,69,7,55
Big room in a Giant Loft !,244182582,Manhattan,40.72064,-73.99305,Private room,73,30,0
1 bedroom in the East Village,105355373,Manhattan,40.72293,-73.98777,Entire home/apt,143,30,0
Perfectly Located Apartment in Gramercy,46094733,Manhattan,40.73975,-73.98511,Entire home/apt,100,2,3
"Stylish 3,000 sq ft loft in TriBeCa",724633,Manhattan,40.72325,-74.00991,Entire home/apt,1000,2,6
Large unit in Prospect Park area townhouse,5435740,Brooklyn,40.65989,-73.95386,Entire home/apt,99,2,96
"Spacious, charming studio",32715865,Manhattan,40.79169,-73.97498,Entire home/apt,86,1,5
Spacious Master BR Near BK Museum,20267329,Brooklyn,40.67263,-73.96437,Private room,99,2,3
Make Yourself At Home NYC,3852579,Manhattan,40.72092,-73.99386,Entire home/apt,400,2,101
"Bright, spacious and quiet two-bedroom Chelsea apt",79114007,Manhattan,40.74122,-73.99963,Entire home/apt,325,2,47
Idyllic West Village Bedroom - Private Room,3571431,Manhattan,40.73086,-74.00498,Private room,130,5,4
Beautiful East Village Room Open For You!,182411776,Manhattan,40.73045,-73.98067,Private room,115,1,37
Bright Renewed Apartment 1 minute from A express train,182945752,Manhattan,40.84104,-73.93838,Private room,55,2,71
Your own little apartment in New York,140497439,Manhattan,40.83658,-73.94088,Entire home/apt,55,7,2
Pretty 1 BR  2 mins from subway,10039346,Brooklyn,40.62924,-73.96311,Entire home/apt,83,2,0
"Cozy, clean in Greenpoint Brooklyn!",5287536,Brooklyn,40.72961,-73.95656,Entire home/apt,120,1,0
Hey New Yorkers!,169940010,Queens,40.70126,-73.90231,Private room,90,1,4
Sonder | 21 Chelsea | Lovely 1BR + Rooftop,12243051,Manhattan,40.7423,-73.99603,Entire home/apt,255,29,0
West Inn 2 - East Village,72062,Manhattan,40.72518,-73.98034,Private room,125,1,84
Chelsea Studio sublet 1 - 2 months,214287,Manhattan,40.74031,-73.99999,Entire home/apt,125,3,3
Cozy Hideaway in Artist’s Industrial Loft,158599708,Brooklyn,40.68109,-73.96904,Entire home/apt,195,3,47
Gorgeous Midtown West LOFT 3BEDS/1.5BATH XL,258073534,Manhattan,40.76557,-73.98399,Entire home/apt,399,6,5
Sunny Spacious Room + Private Bathroom in Bushwick,20507114,Brooklyn,40.70068,-73.92293,Private room,60,3,8
"Artistic, Cozy Room in Williamsburg",6707228,Brooklyn,40.70748,-73.9461,Private room,145,1,0
Studio steps from park & train!,31877774,Manhattan,40.77889,-73.98155,Entire home/apt,190,2,1
Spacious bedroom in colorful apartment,4401058,Brooklyn,40.64354,-73.97967,Private room,110,1,0
CBG# 4Tiny room w/ huge window/AC,22486,Brooklyn,40.6788,-73.97643,Private room,60,1,20
Penthouse Lofts + Private Terrace!,270590027,Brooklyn,40.70907,-73.95054,Entire home/apt,599,2,1
Room in Private House(Queen Bed) by Montefiore-NYC,11305944,Bronx,40.86789,-73.85999,Private room,63,4,40
Entire 3rd floor of Brownstone at Prospect Park!,107933494,Brooklyn,40.66643,-73.97598,Entire home/apt,165,3,33
Inwood Manhattan everything close!!,91678787,Manhattan,40.86763,-73.91792,Private room,60,3,83
❤️ Charming and Quiet NYC Guestroom ❤️,48983104,Queens,40.7206,-73.87382,Private room,60,1,95
Private room 2nd Fl near C&A line and 15mins JFK,6762657,Brooklyn,40.68287,-73.87295,Private room,42,3,28
Comfy room steps away from Williamsburg nightlife,154339771,Brooklyn,40.71258,-73.95742,Private room,50,2,10
Beautiful big ROOM/Safe&comfortable/ near LG& JFK,169587048,Brooklyn,40.68446,-73.87801,Private room,38,4,10
Cozy 1BD Apartment near Manhattan,6246089,Queens,40.76587,-73.92157,Entire home/apt,125,5,27
"Beautiful, Private 3BR Apt EAST VILLAGE",69891628,Manhattan,40.72838,-73.97943,Entire home/apt,305,2,29
Express to NYC - beautiful 1 bedroom apartment,140039953,Brooklyn,40.62402,-73.91681,Entire home/apt,85,3,31
Spacious bedroom near to subway,79499558,Queens,40.75346,-73.88397,Private room,68,4,22
The Notorious B.N.B. { The Wallace },1177497,Brooklyn,40.68975,-73.96703,Private room,438,1,43
"# 1 B Brooklyn NYC Apt close to metro subway, JFK",125914985,Brooklyn,40.63439,-73.94397,Entire home/apt,150,6,57
Prime Upper West Side family home top floor,1250061,Manhattan,40.79121,-73.96963,Entire home/apt,260,3,82
First Class King Suite Midtown Manhattan | Outdoor Restaurant Terrace,239660813,Manhattan,40.75833,-73.99516,Private room,210,1,0
Spacious furnished 2b1b apt with a big living room,62330502,Bronx,40.89753,-73.87359,Private room,50,1,6
Sweet Quiet Spacious Room Brooklyn,239351588,Brooklyn,40.66835,-73.93112,Private room,75,1,12
Beautiful airy room in nice family home,13649613,Bronx,40.85696,-73.91439,Private room,47,2,122
1 Bedroom within Full Apartment,6753765,Manhattan,40.72422,-73.98465,Shared room,85,2,2
Entire home/apt in Chelsea New York,6216882,Manhattan,40.74119,-74.00234,Entire home/apt,175,3,19
Beautiful new apt in Williamsburg,4829797,Brooklyn,40.70589,-73.94749,Private room,63,7,1
Beautiful Brooklyn brownstone with lots of light,34712280,Brooklyn,40.68606,-73.95832,Entire home/apt,91,2,16
Stylish and Comfortable 3 Bedrooms in Williamsburg,185968630,Brooklyn,40.71115,-73.94371,Entire home/apt,210,3,1
Big & Sunny Brooklyn Room | TV/AC/Private Bath,3734323,Brooklyn,40.6883,-73.91383,Private room,65,5,5
Bright and Beautiful Pre-War Home in Bushwick,17529252,Brooklyn,40.70447,-73.91559,Private room,87,2,1
Private room in Charming Greenpoint,3842134,Brooklyn,40.72561,-73.94745,Private room,52,5,7
Doorman Beautiful Studio / 32nd St & Lexington Ave,1475015,Manhattan,40.74446,-73.98091,Entire home/apt,120,30,0
Master Bedroom  Ideal for 2 - Luxury for 1 !,4937803,Brooklyn,40.6627,-73.95875,Private room,75,5,8
Private room with visit to queens # 6,158540605,Queens,40.69946,-73.89079,Private room,35,1,89
#8 Hotel-Like 1 Bedroom Apartment KINGBed near JFK,263504959,Queens,40.69114,-73.86459,Entire home/apt,48,1,8
"Bright, Renovated 1BR in Brownstone",2605064,Manhattan,40.80654,-73.95019,Entire home/apt,220,3,194
Bright and spacious room in Bushwick,89589630,Brooklyn,40.69629,-73.91351,Private room,50,1,86
Dazzling Room with 2 Beds+ Laundry in Williamsburg,141204556,Brooklyn,40.71013,-73.9637,Private room,109,30,37
Modern East Village Apt - Available Last Minute,447895,Manhattan,40.723,-73.97753,Entire home/apt,112,2,4
Private Rm&Bthrm - 10 min Manhattan,19109608,Queens,40.76273,-73.91642,Private room,95,2,55
"Safe, Cozy, Cute and Cheap",2885147,Queens,40.7246,-73.85744,Entire home/apt,52,2,1
Chelsea studio,48726094,Manhattan,40.75088,-73.99951,Private room,100,2,151
Columbia campus 2 bedrooms apartment,790288,Manhattan,40.808,-73.96643,Entire home/apt,200,1,0
Cozy bright room near Prospect Park,2263722,Brooklyn,40.64945,-73.96108,Private room,56,7,12
Lovely 1BR Harlem apartment,16004068,Manhattan,40.80379,-73.95257,Entire home/apt,105,3,4
"SPACIOUS & CHARMING w/garden 4BR 
walk 2 train",20951849,Brooklyn,40.69138,-73.93217,Entire home/apt,350,1,5
Chic & Sleek Mid-Century Styled Apt,48881330,Brooklyn,40.66589,-73.95103,Entire home/apt,100,3,6
SOHO - Large Studio Apt,11762397,Manhattan,40.72153,-73.99331,Entire home/apt,220,2,146
#1,217293060,Manhattan,40.73432,-73.99686,Entire home/apt,600,31,0
SPRING in the City!! Zen-Style Tranquil Bedroom,919218,Manhattan,40.80606,-73.95061,Private room,86,3,34
Chelsea Studio (King bed + convertible full sofa),50778925,Manhattan,40.74154,-74.00161,Entire home/apt,149,5,6
The Library @ Guacamaya's Nest,19418027,Brooklyn,40.67726,-73.94179,Private room,58,3,24
Unique Lincoln Square 1 BR Apt,58931360,Manhattan,40.77616,-73.98485,Entire home/apt,250,3,6
Heart of the East Village,51835429,Manhattan,40.72597,-73.9838,Private room,90,2,0
Mia Suite East Village-free Street Parking+wifi,116839989,Manhattan,40.73075,-73.98114,Entire home/apt,150,30,59
Large bright friendly bedroom apartment,59407939,Brooklyn,40.60795,-73.98955,Private room,89,1,5
Lovely 1BR in Tree-lined WBurg,509341,Brooklyn,40.71055,-73.95098,Entire home/apt,140,7,13
Classic Loft in Gramercy/Flatiron - Amazing Value,61719199,Manhattan,40.73955,-73.98568,Entire home/apt,275,2,4
Super Apt for Superbowl,1531465,Manhattan,40.74438,-73.97744,Entire home/apt,400,1,0
Charming East Village Apartment,19194060,Manhattan,40.7241,-73.97992,Entire home/apt,600,3,0
1BR SoHo Apt w/ your own private backyard.,96773131,Manhattan,40.72848,-74.00269,Entire home/apt,300,1,8
Beautiful Unique Greenpoint Loft Suite,47554473,Brooklyn,40.72919,-73.94512,Private room,149,3,32
Jazzy condo in Riverdale -fresh grown veggies,2556784,Bronx,40.88757,-73.90522,Entire home/apt,60,1,25
