Region,DataYear,ClassGrade,Gender,Ageyears,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Schoolwork_Pressure,Superpower,Handed,Travel_to_School,Travel_time_to_School,Left_Footlength_cm,Longer_Finger_Lefthand,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Watching_TV_Hours,Planned_Education_Level,Favorite_Music
FL,2018,12,Male,17,5,10,Some,Telepathy,Right-Handed,Car,20,24,Ring finger,Yes - other,In person,20,35,8,5,3,12,2,3,10,Graduate degree,Rock and roll
CA,2016,7,Male,12,9,2,Some,Freeze time,Right-Handed,Car,5,5,Ring finger,Yes - dial-up connection,In person,5,6,30,5,8,8,0,1,9,Some college,Other
CA,2013,7,Female,13,8.5,10.5,A lot,Fly,Right-Handed,Car,22,22,Same length,Yes - dial-up connection,In person,40,40,46,5,36,10,24,24,10,Graduate degree,Pop
CA,2011,12,Male,17,6,8,Some,Freeze time,Right-Handed,Walk,5,25,Ring finger,Yes - broadband connection,Internet chat or instant messaging,2,4,10,8,3,15,20,10,2,Graduate degree,Other
CA,2018,12,Male,18,8,10,Some,Telepathy,Right-Handed,Car,13,26,Index finger,Yes - broadband connection,In person,0,0,0,1,4,1,3,1,15,Less than high school,Gospel
MI,2011,12,Male,18,7,9,Some,Invisibility,Right-Handed,Car,7,29,Same length,Yes - other,Text messaging,90,6,40,8,20,40,0,24,3,Graduate degree,Country
SC,2011,11,Male,17,7,10,Some,Freeze time,Right-Handed,Car,2,25,Ring finger,Yes - broadband connection,Text messaging,22,41,20,1,1,6,3,5,10,Graduate degree,Rap/Hip hop
FL,2015,6,Male,11,10,11,Some,Invisibility,Left-Handed,Car,15,23,Ring finger,Yes - other,In person,0,0,20,3,5,5,0,0,2,Graduate degree,Pop
GA,2010,12,Male,18,6,9,A lot,Freeze time,Left-Handed,Car,3,25,Index finger,Yes - broadband connection,Text messaging,350,370,6,3,2,8,6,154,30,Graduate degree,Heavy metal
MA,2017,8,Female,13,9,10,Some,Fly,Right-Handed,Car,7,23.8,Same length,Yes - dial-up connection,In person,50,55,9,7,14,14,2,4,14,Graduate degree,Country
IN,2018,7,Male,13,8,10,None,Fly,Right-Handed,Car,1,26,Ring finger,Yes - other,Internet chat or instant messaging,500,500,2,0,5,6,2,1,2,Graduate degree,Rap/Hip hop
OH,2012,12,Male,17,6,9,Some,Freeze time,Right-Handed,Bicycle,10,26,Index finger,Yes - broadband connection,Text messaging,20,30,8,8,4,3,1,10,8,Graduate degree,Heavy metal
WI,2018,11,Male,16,5.5,6.5,Some,Freeze time,Right-Handed,Bicycle,15,26,Ring finger,Yes - broadband connection,Internet chat or instant messaging,0,0,6,7,5,12,1,1,6,Less than high school,Rock and roll
NY,2017,6,Female,11,8,6,Some,Freeze time,Right-Handed,Rail (Train/Tram/Subway),90,25.5,Ring finger,Yes - broadband connection,In person,0,0,5,10,7,10,0,1,3,Other,Rap/Hip hop
MI,2011,12,Male,18,8,12,Some,Invisibility,Right-Handed,Car,25,29,Ring finger,Yes - other,Cell phone,1000,1000,4,2,4,4,1,24,6,Graduate degree,Rap/Hip hop
MA,2017,8,Female,14,4,5,A lot,Freeze time,Right-Handed,Bus,10,24,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,500,9,6,3,6,1,0,1,Graduate degree,Pop
CA,2015,5,Female,11,10,14,Some,Freeze time,Right-Handed,Car,5,21,Ring finger,No internet connection,Cell phone,5,10,5,1,0,2,4,0,2,Other,Rock and roll
GA,2014,9,Female,14,8,5,Very little,Telepathy,Ambidextrous,Car,5,,,Yes - broadband connection,Text messaging,100,20,48,5,120,0,120,120,24,Graduate degree,Rap/Hip hop
IL,2014,6,Female,11,9,10,Some,Fly,Right-Handed,Walk,12,168,Index finger,Yes - other,Text messaging,40,40,20,5,7,16,19,20,4,Graduate degree,Pop
IL,2016,12,Female,17,8,9,Some,Telepathy,Right-Handed,Car,7,26,Ring finger,Yes - broadband connection,Text messaging,29,36,7,18,14,12,7,2,10,Graduate degree,Pop
NJ,2014,12,Male,18,7,10,A lot,Fly,Ambidextrous,Car,20,27,Index finger,Yes - broadband connection,Text messaging,12,16,8,2,10,3,2,4,9,Graduate degree,Punk rock
KS,2018,12,Male,17,6,10,A lot,Fly,Right-Handed,Car,15,26.5,Index finger,Yes - broadband connection,Cell phone,25,15,52,10,7,0,4,9,3,Graduate degree,Other
SC,2017,11,Female,16,8,9,Some,Invisibility,Left-Handed,Car,3,22,Index finger,Yes - broadband connection,Cell phone,13,13,20,1,20,2,15,15,10,Undergraduate degree,Rap/Hip hop
IN,2015,10,Female,15,6,10,A lot,Fly,Right-Handed,Car,12,26,Ring finger,Yes - other,Text messaging,15,15,0,20,5,15,10,3,7,Graduate degree,Pop
VA,2017,12,Female,17,5,7,Some,Telepathy,Right-Handed,Car,20,23,Index finger,Yes - other,Text messaging,34,43,49.5,20,10,0,0,5,8,Graduate degree,Other
OH,2014,12,Female,18,7,5,Some,Invisibility,Right-Handed,Walk,5,25,Same length,Yes - broadband connection,Text messaging,50,50,25,12,10,10,8,5,2,Graduate degree,Country
VT,2015,10,Male,15,8,9,Some,Telepathy,Right-Handed,Car,5,26,Ring finger,Yes - broadband connection,Text messaging,500,600,30,10,10,10,5,20,14,Graduate degree,Country
AZ,2018,12,Female,17,4,4,A lot,Freeze time,Right-Handed,Car,45,25,Same length,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",200,200,10,11,2,0,10,15,5,Graduate degree,Pop
VI,2014,12,Female,18,7,9,Some,Telepathy,Right-Handed,Bus,30,23,Ring finger,Yes - broadband connection,Text messaging,65,50,15,7,0,10,21,84,21,Undergraduate degree,Reggae
NC,2016,6,Male,12,7,8,Some,Fly,Right-Handed,Bicycle,45,22,Same length,Yes - broadband connection,Other,6,7,115,45,60,115,0,0,150,Other,Other
IN,2017,12,Female,18,8,10,Some,Fly,Right-Handed,Car,10,20,Index finger,Yes - other,In person,10,11,50,1,5,3,40,1,5,Some college,Other
ID,2018,12,Male,20,7,9,A lot,Freeze time,Right-Handed,Walk,5,27,Ring finger,Yes - other,In person,15,36,14,8,6,6,2,2,1,Graduate degree,Country
AR,2017,6,Female,12,9,12,Some,Telepathy,Right-Handed,Walk,10,6,Ring finger,Yes - other,Text messaging,30,31,2,1,2,3,2,2,2,Graduate degree,Country
DE,2013,12,Female,15,7,7,A lot,Freeze time,Right-Handed,Car,45,30,Index finger,Yes - broadband connection,In person,50,50,4,5,2,20,2,10,3,Other,Other
GU,2014,9,Female,14,7,6,A lot,Telepathy,Right-Handed,Car,5,22,Ring finger,Yes - other,In person,50,50,45,2,12,12,2,10,15,High school,Pop
NY,2016,12,Female,23,4,10,A lot,Telepathy,Right-Handed,Car,15,2,Ring finger,Yes - other,Text messaging,150,390,0,2,7,0,24,24,17,Graduate degree,Reggae
