"","Survived","Age"
"1",1,29
"2",0,2
"3",0,30
"4",0,25
"5",1,0.92
"6",1,47
"7",1,63
"8",0,39
"9",1,58
"10",0,71
"11",0,47
"12",1,19
"13",1,NA
"14",1,NA
"15",0,NA
"16",1,50
"17",0,24
"18",0,36
"19",1,37
"20",1,47
"21",1,26
"22",0,25
"23",1,25
"24",1,19
"25",1,28
"26",0,45
"27",1,39
"28",1,30
"29",1,58
"30",0,NA
"31",1,45
"32",1,22
"33",1,NA
"34",0,41
"35",0,48
"36",0,NA
"37",1,44
"38",1,59
"39",1,60
"40",0,45
"41",1,NA
"42",1,53
"43",1,58
"44",1,36
"45",0,33
"46",0,NA
"47",0,NA
"48",1,36
"49",1,36
"50",1,14
"51",1,11
"52",0,49
"53",1,NA
"54",0,36
"55",1,NA
"56",0,46
"57",1,47
"58",1,27
"59",1,31
"60",1,NA
"61",1,NA
"62",1,NA
"63",0,NA
"64",0,27
"65",1,26
"66",0,NA
"67",0,NA
"68",1,64
"69",0,37
"70",1,39
"71",1,55
"72",0,NA
"73",0,70
"74",1,69
"75",1,36
"76",0,39
"77",1,38
"78",1,NA
"79",1,27
"80",0,31
"81",1,27
"82",1,NA
"83",1,31
"84",1,17
"85",1,NA
"86",1,NA
"87",1,4
"88",1,27
"89",0,50
"90",1,48
"91",1,49
"92",1,48
"93",0,39
"94",1,23
"95",1,53
"96",0,36
"97",1,NA
"98",1,NA
"99",0,30
"100",1,24
"101",0,19
"102",1,28
"103",1,23
"104",0,64
"105",1,60
"106",0,NA
"107",1,49
"108",1,NA
"109",1,44
"110",1,22
"111",1,60
"112",1,48
"113",0,37
"114",1,35
"115",0,47
"116",1,22
"117",1,45
"118",1,49
"119",1,NA
"120",0,71
"121",1,54
"122",0,38
"123",1,19
"124",1,58
"125",1,45
"126",1,23
"127",0,46
"128",1,25
"129",1,21
"130",1,48
"131",1,49
"132",0,45
"133",1,36
"134",1,NA
"135",0,55
"136",1,52
"137",1,24
"138",0,NA
"139",0,NA
"140",0,NA
"141",1,16
"142",1,44
"143",1,51
"144",0,42
"145",1,35
"146",1,35
"147",1,38
"148",1,35
"149",0,NA
"150",0,50
"151",1,49
"152",0,46
"153",0,NA
"154",0,58
"155",0,41
"156",1,NA
"157",1,42
"158",1,40
"159",0,NA
"160",1,NA
"161",0,NA
"162",0,42
"163",1,55
"164",1,50
"165",1,16
"166",0,NA
"167",0,29
"168",1,21
"169",0,30
"170",1,15
"171",0,30
"172",1,NA
"173",0,NA
"174",1,NA
"175",0,46
"176",0,54
"177",1,36
"178",0,28
"179",1,NA
"180",0,65
"181",1,33
"182",0,44
"183",1,37
"184",1,NA
"185",0,55
"186",0,47
"187",0,36
"188",0,58
"189",1,31
"190",1,23
"191",1,19
"192",0,64
"193",1,NA
"194",0,64
"195",1,22
"196",0,28
"197",0,NA
"198",0,NA
"199",0,22
"200",0,NA
"201",1,NA
"202",0,18
"203",1,17
"204",1,52
"205",0,46
"206",1,56
"207",0,NA
"208",1,NA
"209",1,43
"210",0,31
"211",1,NA
"212",0,NA
"213",1,33
"214",0,NA
"215",1,27
"216",0,55
"217",1,54
"218",0,NA
"219",0,61
"220",1,48
"221",1,18
"222",1,13
"223",1,21
"224",1,NA
"225",1,NA
"226",1,NA
"227",1,34
"228",1,40
"229",1,36
"230",0,50
"231",1,39
"232",1,56
"233",1,28
"234",0,56
"235",0,56
"236",0,24
"237",1,18
"238",0,NA
"239",1,24
"240",1,23
