Points,OppPoints,WinMargin,Start,Ss,BlanksNumber,J,Q,X,Z,Blanks
357,302,55,first,4,0,1,0,1,1,0blanks
386,311,75,first,2,0,0,0,0,0,0blanks
434,364,70,pass,2,0,1,0,0,0,0blanks
418,357,61,first,1,1,1,0,1,1,1blank
411,356,55,first,3,1,0,1,0,1,1blank
373,261,112,first,1,2,0,0,1,0,2blanks
367,343,24,first,2,0,0,1,1,1,0blanks
294,254,40,pass,5,0,0,1,0,0,0blanks
383,331,52,pass,0,1,0,0,1,1,1blank
386,327,59,first,3,0,0,0,1,0,0blanks
368,277,91,pass,3,0,0,0,1,1,0blanks
360,331,29,pass,3,0,1,0,0,0,0blanks
378,372,6,pass,3,1,1,0,1,0,1blank
373,339,34,first,1,2,1,0,0,1,2blanks
364,308,56,pass,3,2,0,0,1,0,2blanks
365,312,53,pass,3,0,1,0,1,0,0blanks
366,311,55,pass,4,1,1,1,0,1,1blank
349,320,29,pass,2,0,0,0,1,0,0blanks
415,377,38,pass,3,1,0,1,1,1,1blank
394,305,89,pass,1,1,0,1,0,1,1blank
382,329,53,pass,2,0,1,0,1,1,0blanks
367,332,35,pass,3,1,0,0,0,1,1blank
353,300,53,pass,1,2,0,0,0,0,2blanks
362,317,45,pass,1,2,1,1,0,0,2blanks
379,330,49,pass,2,2,0,0,0,1,2blanks
349,304,45,pass,3,0,1,0,1,1,0blanks
421,357,64,pass,1,1,1,0,1,1,1blank
350,337,13,pass,2,1,1,1,1,0,1blank
361,329,32,pass,2,2,1,1,1,0,2blanks
344,307,37,pass,1,1,1,1,1,0,1blank
334,288,46,pass,1,1,1,1,0,0,1blank
416,338,78,pass,3,1,0,1,1,0,1blank
397,327,70,pass,3,1,0,0,1,1,1blank
398,383,15,pass,1,1,1,1,1,1,1blank
361,313,48,pass,2,1,0,1,0,1,1blank
416,368,48,pass,3,2,0,1,1,0,2blanks
447,314,133,pass,3,2,1,0,1,1,2blanks
393,343,50,pass,2,1,0,0,0,1,1blank
378,359,19,pass,2,0,1,1,1,1,0blanks
346,282,64,first,2,1,1,0,1,0,1blank
330,311,19,first,2,1,0,1,1,0,1blank
344,324,20,first,3,1,0,0,1,1,1blank
459,402,57,first,3,2,1,1,0,1,2blanks
369,335,34,first,2,1,0,1,0,1,1blank
328,293,35,first,2,0,1,1,1,0,0blanks
467,413,54,pass,2,2,1,0,1,0,2blanks
366,335,31,pass,3,2,0,0,0,1,2blanks
370,346,24,pass,3,2,1,0,1,1,2blanks
367,285,82,pass,2,2,0,1,1,0,2blanks
379,342,37,pass,3,1,0,0,1,0,1blank
411,342,69,first,2,1,1,1,1,0,1blank
385,325,60,pass,2,1,1,0,0,1,1blank
353,294,59,first,5,2,0,0,0,0,2blanks
384,361,23,pass,3,2,0,1,1,1,2blanks
399,343,56,first,3,2,0,1,0,0,2blanks
401,352,49,pass,3,0,0,1,1,0,0blanks
427,382,45,first,3,0,0,1,0,1,0blanks
417,357,60,pass,2,2,0,1,0,0,2blanks
431,407,24,first,3,1,1,1,0,1,1blank
391,324,67,pass,2,1,1,1,1,0,1blank
412,350,62,first,2,1,0,0,1,0,1blank
393,344,49,pass,2,1,0,1,1,0,1blank
352,312,40,first,2,0,0,1,0,1,0blanks
380,354,26,pass,2,1,1,0,1,1,1blank
383,380,3,first,3,2,0,1,1,0,2blanks
405,307,98,pass,3,2,1,0,0,1,2blanks
386,342,44,first,2,1,0,1,1,1,1blank
370,350,20,pass,3,1,1,1,1,0,1blank
389,347,42,first,3,1,0,1,1,1,1blank
397,356,41,pass,1,0,1,1,0,0,0blanks
363,334,29,first,2,1,1,0,0,0,1blank
390,362,28,pass,1,1,1,0,0,1,1blank
448,364,84,first,4,2,0,1,1,0,2blanks
436,409,27,pass,2,2,1,0,1,0,2blanks
454,417,37,first,4,1,0,1,1,1,1blank
366,278,88,pass,2,0,0,0,0,0,0blanks
403,326,77,first,3,0,0,0,0,1,0blanks
422,322,100,pass,4,1,0,0,0,1,1blank
416,381,35,first,1,0,1,1,0,0,0blanks
393,358,35,pass,3,0,1,0,0,1,0blanks
348,361,-13,first,2,0,0,0,0,1,0blanks
413,350,63,pass,2,2,1,1,0,0,2blanks
361,314,47,first,3,0,1,1,1,0,0blanks
357,294,63,pass,1,1,1,1,0,0,1blank
429,386,43,first,2,1,1,0,1,1,1blank
389,324,65,pass,2,2,1,0,1,0,2blanks
425,373,52,first,4,1,0,0,1,1,1blank
362,239,123,pass,4,1,0,0,1,1,1blank
344,265,79,first,1,0,0,0,0,0,0blanks
421,373,48,pass,3,1,0,0,1,0,1blank
391,342,49,first,3,0,1,0,0,0,0blanks
423,359,64,pass,3,0,1,1,0,0,0blanks
373,325,48,first,2,2,1,1,1,0,2blanks
330,314,16,pass,0,1,0,0,0,1,1blank
404,307,97,first,2,1,1,0,0,1,1blank
343,322,21,pass,1,1,0,1,0,1,1blank
344,294,50,first,3,0,0,1,0,0,0blanks
410,389,21,pass,2,1,1,0,1,0,1blank
